searge,mcp,side,desc
p_i46291_1_,p_i46291_1_,2
p_i46291_2_,p_i46291_2_,2
p_i46291_3_,formattingName,2
p_i46291_4_,formattingCodeIn,2
p_i46291_5_,colorIndex,2
p_i46292_1_,p_i46292_1_,2
p_i46292_2_,p_i46292_2_,2
p_i46292_3_,formattingName,2
p_i46292_4_,formattingCodeIn,2
p_i46292_5_,fancyStylingIn,2
p_i46293_1_,p_i46293_1_,2
p_i46293_2_,p_i46293_2_,2
p_i46293_3_,formattingName,2
p_i46293_4_,formattingCodeIn,2
p_i46293_5_,fancyStylingIn,2
p_i46293_6_,colorIndex,2
text,text,2
friendlyName,friendlyName,2
index,index,2
p_i1348_1_,descriptionIn,2
p_i1348_2_,causeThrowable,2
causeIn,causeIn,2
descriptionIn,descriptionIn,2
builder,builder,2
toFile,toFile,2
name,name,2
categoryName,categoryName,2
stacktraceLength,stacktraceLength,2
p_i1338_1_,p_i1338_1_,2
p_i1339_1_,p_i1339_1_,2
p_i1340_1_,p_i1340_1_,2
p_i1341_1_,p_i1341_1_,2
p_i1342_1_,p_i1342_1_,2
p_i1343_1_,p_i1343_1_,2
p_i1344_1_,p_i1344_1_,2
x,x,2
y,y,2
z,z,2
p_i1353_1_,report,2
p_i1353_2_,name,2
pos,pos,2
x,x,2
y,y,2
z,z,2
category,category,2
pos,pos,2
blockIn,blockIn,2
blockData,blockData,2
category,category,2
pos,pos,2
state,state,2
nameIn,nameIn,2
detail,detail,2
sectionName,sectionName,2
value,value,2
sectionName,sectionName,2
throwable,throwable,2
size,size,2
s1,s1,2
s2,s2,2
amount,amount,2
builder,builder,2
p_i45125_1_,p_i45125_1_,2
p_i45125_2_,p_i45125_2_,2
p_i1350_1_,p_i1350_1_,2
p_i46289_1_,p_i46289_1_,2
p_i46491_1_,p_i46491_1_,2
p_i46490_1_,p_i46490_1_,2
p_i1352_1_,key,2
p_i1352_2_,value,2
p_i1356_1_,report,2
character,character,2
input,input,2
task,task,2
logger,logger,2
list,list,2
p_i1357_1_,p_i1357_1_,2
p_i1357_2_,p_i1357_2_,2
p_i47472_1_,id,2
p_i47472_2_,parentIn,2
p_i47472_3_,displayIn,2
p_i47472_4_,rewardsIn,2
p_i47472_5_,criteriaIn,2
p_i47472_6_,requirementsIn,2
advancementIn,advancementIn,2
p_i47414_1_,parentIdIn,2
p_i47414_2_,displayIn,2
p_i47414_3_,rewardsIn,2
p_i47414_4_,criteriaIn,2
p_i47414_5_,requirementsIn,2
json,json,2
context,context,2
buf,buf,2
lookup,lookup,2
id,id,2
buf,buf,2
advancementIn,advancementIn,2
ids,ids,2
listenerIn,listenerIn,2
advancementsIn,advancementsIn,2
id,id,2
advancementIn,advancementIn,2
advancementIn,advancementIn,2
advancementIn,advancementIn,2
advancementIn,advancementIn,2
criteriaIn,criteriaIn,2
requirements,requirements,2
criterionIn,criterionIn,2
criterionIn,criterionIn,2
criterionIn,criterionIn,2
p_i47587_1_,experience,2
p_i47587_2_,loot,2
p_i47587_3_,recipes,2
p_i47587_4_,function,2
player,player,2
p_i47573_1_,p_i47573_1_,2
p_i47573_2_,p_i47573_2_,2
p_i47573_3_,p_i47573_3_,2
component,component,2
permLevel,permLevel,2
commandName,commandName,2
type,type,2
amount,amount,2
criterion,criterion,2
id,id,2
p_i47470_1_,p_i47470_1_,2
json,json,2
context,context,2
json,json,2
context,context,2
bus,bus,2
criteria,criteria,2
buf,buf,2
p_i47469_1_,advancementProgressIn,2
